Parameters:
Random seed: 0
Domain used is: 5
# Pits: 6, Stones per pit: 4
Player 0 (max) --- BFB, C 10.000, Num iterations 100000, with average backups, using heuristic 1
Player 1 (min) --- UCT, C 2.500, Num iterations 5000, with average backups, using heuristic 1
yoyoyoyo -31.436871
-34.727922
-18.142136
-61.183766
-20.970563
-39.041631
-23.556349
-28.041631
-49.012193
-19.798990
-23.798990
-39.284271
-39.142136
-21.970563
-71.183766
-33.384776
-42.941125
-27.970563
-71.012193
-30.455844
-25.556349
-31.112698
-60.627417
-20.556349
-14.727922
-29.384776
-37.284271
-36.284271
-53.556349
-34.698485
-59.899495
-65.041631
-36.870058
-44.455844
-60.798990
-31.870058
-25.384776
-34.455844
-17.556349
-27.384776
-21.798990
-22.384776
-22.627417
-44.455844
-22.556349
-27.455844
-31.213203
-40.870058
-33.284271
-26.870058
-32.870058
-31.384776
-41.112698
-44.142136
-27.627417
-22.384776
-22.627417
-55.769553
-16.970563
-68.325902
-39.698485
-32.071068
-31.627417
-23.213203
-23.384776
-35.698485
-31.284271
-41.041631
-34.627417
-41.698485
-32.870058
-33.384776
-46.698485
-21.142136
-22.627417
-31.970563
-29.041631
-34.870058
-19.142136
-36.698485
-17.556349
-44.213203
-29.213203
-79.627417
-39.798990
-17.556349
-54.355339
-46.970563
-35.142136
-26.213203
-49.183766
-56.597980
-25.970563
-53.284271
-26.384776
-56.698485
-24.798990
-22.656854
-65.870058
-61.012193
-25.455844
-58.698485
-17.556349
-65.142136
-32.455844
-43.355339
-61.112698
-26.798990
-49.355339
-61.769553
-47.284271
-42.526912
-71.355339
-15.899495
-42.455844
-28.798990
-54.485281
-23.656854
-26.870058
-44.627417
-38.284271
-26.213203
-54.597980
-32.213203
-36.870058
-18.727922
-33.284271
-28.142136
-47.284271
-30.455844
-18.384776
-39.284271
-31.870058
-48.313708
-51.213203
-19.556349
-36.112698
-38.941125
-52.798990
-39.798990
-36.213203
-29.041631
-39.041631
-17.556349
-18.142136
-35.112698
-48.941125
-48.970563
-63.526912
-22.384776
-21.970563
-16.142136
-56.870058
-25.970563
-17.556349
-37.698485
-51.798990
-17.556349
-27.142136
-17.142136
-36.798990
-15.313708
-46.627417
-35.455844
-18.970563
-46.769553
-63.769553
-21.798990
-34.698485
-29.041631
-31.213203
-16.142136
-35.455844
-33.284271
-50.627417
-42.455844
-35.870058
-58.355339
-23.313708
-36.041631
-48.698485
-59.213203
-29.041631
-36.870058
-21.213203
-44.870058
-26.213203
-43.112698
-39.284271
-53.355339
-19.142136
-34.870058
-17.142136
-33.284271
-19.556349
-22.313708
-33.284271
-67.455844
-55.041631
-26.041631
-37.041631
-46.698485
-31.112698
-22.627417
-24.041631
-29.698485
-24.384776
-20.384776
-26.970563
-51.041631
-81.941125
-55.798990
-36.870058
-28.384776
-22.727922
-15.727922
-32.384776
-48.970563
-52.455844
-30.556349
-50.769553
-66.627417
-23.970563
-19.727922
-30.455844
-34.284271
-28.142136
-22.313708
-35.041631
-19.142136
-44.798990
-41.213203
-31.870058
-64.941125
-49.284271
-48.941125
-57.284271
-58.414214
-26.798990
-38.526912
-46.041631
-34.455844
-33.284271
-39.112698
-23.384776
-21.970563
-21.213203
-55.941125
-54.698485
-54.355339
-22.384776
-16.142136
-33.727922
-26.627417
-54.526912
-22.627417
-43.041631
-47.698485
-43.941125
-61.455844
-31.213203
-38.112698
-30.556349
-20.556349
-58.284271
-33.556349
-20.970563
-80.526912
-49.455844
-28.627417
-22.556349
-49.798990
-54.355339
-51.455844
-26.627417
-24.142136
-20.142136
-21.798990
-27.455844
-17.313708
-35.355339
-19.556349
-50.941125
-58.083261
-58.798990
-45.698485
-18.970563
-29.041631
-21.556349
-55.526912
-16.142136
-27.384776
-25.071068
-44.355339
-33.041631
-67.870058
-35.455844
-25.455844
-24.041631
-43.213203
-30.284271
-60.112698
-51.769553
-35.870058
-20.970563
-56.284271
-44.455844
-44.698485
-49.284271
-24.627417
-24.798990
-28.627417
-20.556349
-16.899495
-23.798990
-32.870058
-30.041631
-18.485281
-31.870058
-29.213203
-36.041631
-22.627417
-26.870058
-51.798990
-30.213203
-41.112698
-63.597980
-34.698485
-50.727922
-52.798990
-30.455844
-24.213203
-27.213203
-54.899495
-16.142136
-27.213203
-34.698485
-76.112698
-17.142136
-78.669048
-23.727922
-59.355339
-39.213203
-34.899495
-38.899495
-47.970563
-52.284271
-29.213203
-18.384776
-46.627417
-31.041631
-37.526912
-35.455844
-25.556349
-21.556349
-24.798990
-44.041631
-31.112698
-35.284271
-26.798990
-45.112698
-30.970563
-25.384776
-52.698485
-36.455844
-33.870058
-18.970563
-23.727922
-61.041631
-36.455844
-18.313708
-30.384776
-18.970563
-56.313708
-47.041631
-23.970563
-23.384776
-33.284271
-40.213203
-26.970563
-33.455844
-36.870058
-18.142136
-36.313708
-26.213203
-27.142136
-23.970563
-30.455844
-21.213203
-27.142136
-43.355339
-59.112698
-62.698485
-29.870058
-26.213203
-33.970563
-35.455844
-16.142136
-21.798990
-31.112698
-49.455844
-33.941125
-38.284271
-40.698485
-23.213203
-33.627417
-66.041631
-34.041631
-27.627417
-60.183766
-27.798990
-19.899495
-18.970563
-36.455844
-22.798990
-50.798990
-40.727922
-64.941125
-15.313708
-36.455844
-28.041631
-31.798990
-47.870058
-50.213203
-41.284271
-47.769553
-34.242641
-45.041631
-38.727922
-64.769553
-36.041631
-20.970563
-51.355339
-23.798990
-51.041631
-33.556349
-45.526912
-36.213203
-45.698485
-25.970563
-51.455844
-27.627417
-24.556349
-27.384776
-19.142136
-31.112698
-19.556349
-39.556349
-35.970563
-32.384776
-24.041631
-22.899495
-46.526912
-44.526912
-46.798990
-23.798990
-42.627417
-34.284271
-33.142136
-32.556349
-46.941125
-40.384776
-21.556349
-46.213203
-39.698485
-41.384776
-22.727922
-49.941125
-17.556349
-37.455844
-60.597980
-30.455844
-21.970563
-80.284271
-46.284271
-33.284271
-46.698485
-39.526912
-63.355339
-57.597980
-18.556349
-17.556349
-20.142136
-57.870058
-32.627417
-29.142136
-37.556349
-64.870058
-39.384776
-16.727922
-25.970563
-29.384776
-47.627417
-42.384776
-18.970563
-44.698485
-61.455844
-26.899495
-25.213203
-25.627417
-53.455844
-21.970563
-42.870058
-47.041631
-28.213203
-34.698485
-14.485281
-15.313708
-20.556349
-21.313708
-13.313708
-63.627417
-20.384776
-42.213203
-18.556349
