pits,back_propagation,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,mm_level,domain, max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time
6,1,2,2.5,1,10000,0,100,2,5000,7,0,BFB+SR,MINMAX,100,19,0,0.012346,0.987654,1,0.012788,0.021045
6,1,2,2.5,1,10000,0,100,2,500,3,0,BFB+SR,MINMAX,100,42,0,0.103448,0.896552,6,0.011850,0.026077
6,1,2,2.5,1,10000,0,100,2,500,4,0,BFB+SR,MINMAX,100,45,0,0.036364,0.963636,2,0.013397,0.025259
6,1,2,2.5,1,10000,0,100,2,500,5,0,BFB+SR,MINMAX,100,30,0,0.014286,0.985714,1,0.013216,0.023670
6,1,2,2.5,1,10000,0,100,2,500,6,0,BFB+SR,MINMAX,100,21,0,0.025316,0.974684,2,0.012186,0.022035
6,1,2,2.5,1,10000,0,100,2,500,7,0,BFB+SR,MINMAX,100,25,0,0.000000,1.000000,0,0.013894,0.022179
6,1,2,2.5,1,10000,0,100,2,700,3,0,BFB+SR,MINMAX,100,45,0,0.163636,0.836364,9,0.012011,0.026651
6,1,2,2.5,1,10000,0,100,2,700,4,0,BFB+SR,MINMAX,100,41,0,0.084746,0.915254,5,0.012360,0.024882
6,1,2,2.5,1,10000,0,100,2,700,5,0,BFB+SR,MINMAX,100,27,0,0.013699,0.986301,1,0.012022,0.023180
6,1,2,2.5,1,10000,0,100,2,700,6,0,BFB+SR,MINMAX,100,22,0,0.012821,0.987179,1,0.012792,0.021691
6,1,2,2.5,1,10000,0,100,2,700,7,0,BFB+SR,MINMAX,100,19,0,0.000000,1.000000,0,0.013680,0.022346
6,1,2,2.5,1,1000,0,100,2,1000,3,0,BFB+SR,MINMAX,100,48,0,0.173077,0.826923,9,0.001163,0.002438
6,1,2,2.5,1,1000,0,100,2,1000,4,0,BFB+SR,MINMAX,100,41,0,0.033898,0.966102,2,0.001258,0.002256
6,1,2,2.5,1,1000,0,100,2,1000,5,0,BFB+SR,MINMAX,100,28,0,0.013889,0.986111,1,0.001262,0.002257
6,1,2,2.5,1,1000,0,100,2,1000,6,0,BFB+SR,MINMAX,100,23,0,0.012987,0.987013,1,0.001547,0.002342
6,1,2,2.5,1,1000,0,100,2,1000,7,0,BFB+SR,MINMAX,100,16,0,0.011905,0.988095,1,0.002094,0.002807
6,1,2,2.5,1,1000,0,100,2,100,3,0,BFB+SR,MINMAX,100,40,0,0.200000,0.800000,12,0.001364,0.002442
6,1,2,2.5,1,1000,0,100,2,100,4,0,BFB+SR,MINMAX,100,29,0,0.070423,0.929577,5,0.001392,0.002429
6,1,2,2.5,1,1000,0,100,2,100,5,0,BFB+SR,MINMAX,100,28,0,0.055556,0.944444,4,0.001486,0.002418
6,1,2,2.5,1,1000,0,100,2,100,6,0,BFB+SR,MINMAX,100,27,0,0.000000,1.000000,0,0.001716,0.002395
6,1,2,2.5,1,1000,0,100,2,100,7,0,BFB+SR,MINMAX,100,25,0,0.013333,0.986667,1,0.002261,0.002823
6,1,2,2.5,1,1000,0,100,2,5000,3,0,BFB+SR,MINMAX,100,35,0,0.092308,0.907692,6,0.001070,0.002576
6,1,2,2.5,1,1000,0,100,2,5000,4,0,BFB+SR,MINMAX,100,35,0,0.046154,0.953846,3,0.001259,0.002349
6,1,2,2.5,1,1000,0,100,2,5000,5,0,BFB+SR,MINMAX,100,37,0,0.000000,1.000000,0,0.001373,0.002330
6,1,2,2.5,1,1000,0,100,2,5000,6,0,BFB+SR,MINMAX,100,31,0,0.000000,1.000000,0,0.001645,0.002453
6,1,2,2.5,1,1000,0,100,2,5000,7,0,BFB+SR,MINMAX,100,18,0,0.000000,1.000000,0,0.002159,0.002922
6,1,2,2.5,1,1000,0,100,2,500,3,0,BFB+SR,MINMAX,100,36,0,0.140625,0.859375,9,0.001043,0.002385
6,1,2,2.5,1,1000,0,100,2,500,4,0,BFB+SR,MINMAX,100,32,0,0.014706,0.985294,1,0.001094,0.002236
6,1,2,2.5,1,1000,0,100,2,500,5,0,BFB+SR,MINMAX,100,29,0,0.000000,1.000000,0,0.001323,0.002123
6,1,2,2.5,1,1000,0,100,2,500,6,0,BFB+SR,MINMAX,100,23,0,0.000000,1.000000,0,0.001461,0.002280
6,1,2,2.5,1,1000,0,100,2,500,7,0,BFB+SR,MINMAX,100,19,0,0.000000,1.000000,0,0.002084,0.002679
6,1,2,2.5,1,1000,0,100,2,700,3,0,BFB+SR,MINMAX,100,43,0,0.140351,0.859649,8,0.001063,0.002507
6,1,2,2.5,1,1000,0,100,2,700,4,0,BFB+SR,MINMAX,100,38,0,0.000000,1.000000,0,0.001176,0.002254
6,1,2,2.5,1,1000,0,100,2,700,5,0,BFB+SR,MINMAX,100,29,0,0.000000,1.000000,0,0.001290,0.002205
6,1,2,2.5,1,1000,0,100,2,700,6,0,BFB+SR,MINMAX,100,24,0,0.000000,1.000000,0,0.001520,0.002328
6,1,2,2.5,1,1000,0,100,2,700,7,0,BFB+SR,MINMAX,100,20,0,0.000000,1.000000,0,0.002022,0.002791
6,1,2,2.5,1,15000,0,100,2,1000,3,0,BFB+SR,MINMAX,100,44,0,0.142857,0.857143,8,0.017807,0.039630
6,1,2,2.5,1,15000,0,100,2,1000,4,0,BFB+SR,MINMAX,100,40,0,0.066667,0.933333,4,0.016783,0.036668
6,1,2,2.5,1,15000,0,100,2,1000,5,0,BFB+SR,MINMAX,100,38,0,0.000000,1.000000,0,0.019848,0.035307
6,1,2,2.5,1,15000,0,100,2,1000,6,0,BFB+SR,MINMAX,100,26,0,0.013514,0.986486,1,0.018761,0.032450
6,1,2,2.5,1,15000,0,100,2,1000,7,0,BFB+SR,MINMAX,100,18,0,0.000000,1.000000,0,0.017711,0.030894
6,1,2,2.5,1,15000,0,100,2,100,3,0,BFB+SR,MINMAX,100,50,0,0.160000,0.840000,8,0.024518,0.046311
6,1,2,2.5,1,15000,0,100,2,100,4,0,BFB+SR,MINMAX,100,39,0,0.131148,0.868852,8,0.022082,0.045260
6,1,2,2.5,1,15000,0,100,2,100,5,0,BFB+SR,MINMAX,100,33,0,0.000000,1.000000,0,0.024371,0.040382
6,1,2,2.5,1,15000,0,100,2,100,6,0,BFB+SR,MINMAX,100,33,0,0.029851,0.970149,2,0.024065,0.040021
6,1,2,2.5,1,15000,0,100,2,100,7,0,BFB+SR,MINMAX,100,24,0,0.013158,0.986842,1,0.023373,0.038942
6,1,2,2.5,1,15000,0,100,2,5000,3,0,BFB+SR,MINMAX,100,43,0,0.210526,0.789474,12,0.017278,0.040963
6,1,2,2.5,1,15000,0,100,2,5000,4,0,BFB+SR,MINMAX,100,41,0,0.000000,1.000000,0,0.018948,0.035777
6,1,2,2.5,1,15000,0,100,2,5000,5,0,BFB+SR,MINMAX,100,37,0,0.031746,0.968254,2,0.020034,0.033414
6,1,2,2.5,1,15000,0,100,2,5000,6,0,BFB+SR,MINMAX,100,22,0,0.000000,1.000000,0,0.017029,0.031613
6,1,2,2.5,1,15000,0,100,2,5000,7,0,BFB+SR,MINMAX,100,26,0,0.000000,1.000000,0,0.020213,0.033040
6,1,2,2.5,1,15000,0,100,2,500,3,0,BFB+SR,MINMAX,100,44,0,0.232143,0.767857,13,0.018491,0.039372
6,1,2,2.5,1,15000,0,100,2,500,4,0,BFB+SR,MINMAX,100,43,0,0.122807,0.877193,7,0.020935,0.039266
6,1,2,2.5,1,15000,0,100,2,500,5,0,BFB+SR,MINMAX,100,39,0,0.016393,0.983607,1,0.020743,0.036196
6,1,2,2.5,1,15000,0,100,2,500,6,0,BFB+SR,MINMAX,100,26,0,0.000000,1.000000,0,0.020802,0.034566
6,1,2,2.5,1,15000,0,100,2,500,7,0,BFB+SR,MINMAX,100,19,0,0.000000,1.000000,0,0.020588,0.032612
6,1,2,2.5,1,15000,0,100,2,700,3,0,BFB+SR,MINMAX,100,48,0,0.076923,0.923077,4,0.017238,0.038589
6,1,2,2.5,1,15000,0,100,2,700,4,0,BFB+SR,MINMAX,100,35,0,0.061538,0.938462,4,0.018311,0.036895
6,1,2,2.5,1,15000,0,100,2,700,5,0,BFB+SR,MINMAX,100,28,0,0.013889,0.986111,1,0.017973,0.033802
6,1,2,2.5,1,15000,0,100,2,700,6,0,BFB+SR,MINMAX,100,27,0,0.000000,1.000000,0,0.018725,0.032858
6,1,2,2.5,1,15000,0,100,2,700,7,0,BFB+SR,MINMAX,100,17,0,0.000000,1.000000,0,0.019124,0.032494
6,1,2,2.5,1,25000,0,100,2,1000,3,0,BFB+SR,MINMAX,100,41,0,0.084746,0.915254,5,0.030159,0.070804
6,1,2,2.5,1,25000,0,100,2,1000,4,0,BFB+SR,MINMAX,100,40,0,0.000000,1.000000,0,0.030033,0.062496
6,1,2,2.5,1,25000,0,100,2,1000,5,0,BFB+SR,MINMAX,100,28,0,0.027778,0.972222,2,0.029195,0.056480
6,1,2,2.5,1,25000,0,100,2,1000,6,0,BFB+SR,MINMAX,100,24,0,0.000000,1.000000,0,0.030300,0.055059
6,1,2,2.5,1,25000,0,100,2,1000,7,0,BFB+SR,MINMAX,100,19,0,0.000000,1.000000,0,0.031191,0.053504
6,1,2,2.5,1,25000,0,100,2,100,3,0,BFB+SR,MINMAX,100,57,0,0.255814,0.744186,11,0.041802,0.078588
6,1,2,2.5,1,25000,0,100,2,100,4,0,BFB+SR,MINMAX,100,28,0,0.097222,0.902778,7,0.040350,0.076521
6,1,2,2.5,1,25000,0,100,2,100,5,0,BFB+SR,MINMAX,100,33,0,0.029851,0.970149,2,0.043499,0.071958
6,1,2,2.5,1,25000,0,100,2,100,6,0,BFB+SR,MINMAX,100,29,0,0.014085,0.985915,1,0.041163,0.067371
6,1,2,2.5,1,25000,0,100,2,100,7,0,BFB+SR,MINMAX,100,22,0,0.000000,1.000000,0,0.041411,0.073182
6,1,2,2.5,1,25000,0,100,2,5000,3,0,BFB+SR,MINMAX,100,38,0,0.129032,0.870968,8,0.026611,0.063786
6,1,2,2.5,1,25000,0,100,2,5000,4,0,BFB+SR,MINMAX,100,37,0,0.063492,0.936508,4,0.028395,0.059759
6,1,2,2.5,1,25000,0,100,2,5000,5,0,BFB+SR,MINMAX,100,26,0,0.027027,0.972973,2,0.032274,0.059892
6,1,2,2.5,1,25000,0,100,2,5000,6,0,BFB+SR,MINMAX,100,28,0,0.013889,0.986111,1,0.029643,0.053500
6,1,2,2.5,1,25000,0,100,2,5000,7,0,BFB+SR,MINMAX,100,20,0,0.000000,1.000000,0,0.029816,0.052679
6,1,2,2.5,1,25000,0,100,2,500,3,0,BFB+SR,MINMAX,100,39,0,0.114754,0.885246,7,0.030211,0.066900
6,1,2,2.5,1,25000,0,100,2,500,4,0,BFB+SR,MINMAX,100,47,0,0.000000,1.000000,0,0.034520,0.064983
6,1,2,2.5,1,25000,0,100,2,500,5,0,BFB+SR,MINMAX,100,27,0,0.013699,0.986301,1,0.034324,0.058509
6,1,2,2.5,1,25000,0,100,2,500,6,0,BFB+SR,MINMAX,100,36,0,0.000000,1.000000,0,0.035906,0.059231
6,1,2,2.5,1,25000,0,100,2,500,7,0,BFB+SR,MINMAX,100,31,0,0.000000,1.000000,0,0.034469,0.057024
6,1,2,2.5,1,25000,0,100,2,700,3,0,BFB+SR,MINMAX,100,48,0,0.173077,0.826923,9,0.027367,0.066345
6,1,2,2.5,1,25000,0,100,2,700,4,0,BFB+SR,MINMAX,100,36,0,0.000000,1.000000,0,0.027686,0.060965
6,1,2,2.5,1,25000,0,100,2,700,5,0,BFB+SR,MINMAX,100,27,0,0.000000,1.000000,0,0.029810,0.058958
6,1,2,2.5,1,25000,0,100,2,700,6,0,BFB+SR,MINMAX,100,25,0,0.013333,0.986667,1,0.033986,0.056623
6,1,2,2.5,1,25000,0,100,2,700,7,0,BFB+SR,MINMAX,100,18,0,0.000000,1.000000,0,0.031934,0.052984
6,1,2,2.5,1,50000,0,100,2,1000,3,0,BFB+SR,MINMAX,100,46,0,0.129630,0.870370,7,0.055764,0.133432
6,1,2,2.5,1,50000,0,100,2,1000,4,0,BFB+SR,MINMAX,100,27,0,0.027397,0.972603,2,0.059009,0.124888
6,1,2,2.5,1,50000,0,100,2,1000,5,0,BFB+SR,MINMAX,100,41,0,0.000000,1.000000,0,0.069776,0.114089
6,1,2,2.5,1,50000,0,100,2,1000,6,0,BFB+SR,MINMAX,100,29,0,0.000000,1.000000,0,0.058473,0.110968
6,1,2,2.5,1,50000,0,100,2,1000,7,0,BFB+SR,MINMAX,100,24,0,0.000000,1.000000,0,0.066246,0.116966
6,1,2,2.5,1,50000,0,100,2,100,3,0,BFB+SR,MINMAX,100,47,0,0.245283,0.754717,13,0.077820,0.160892
