pits,backop,heuristics,c,iterations,seed,num_games,ci_threshold,domain,max_alg,min_alg,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,avg_score
10,3,6,2.5,1000,0,1000,1,0,UCT,UCT,1000,457,0,0.364641,0.635359,198,0.004689,0.004926,-0.000000
10,3,6,2.5,1000,0,1000,25,0,UCT,UCT,1000,476,0,0.479008,0.520992,251,0.004555,0.004679,-0.000000
10,3,6,2.5,1000,0,1000,50,0,UCT,UCT,1000,512,0,0.512295,0.487705,250,0.004541,0.004603,-0.000000
10,3,6,2.5,15000,0,1000,10,0,UCT,UCT,1000,513,0,0.400411,0.599589,195,0.090992,0.095767,-0.000000
10,3,6,2.5,15000,0,1000,1,0,UCT,UCT,1000,453,0,0.413163,0.586837,226,0.091262,0.096122,-0.000000
10,3,6,2.5,15000,0,1000,25,0,UCT,UCT,1000,531,0,0.484009,0.515991,227,0.090564,0.094065,-0.000000
10,3,6,2.5,15000,0,1000,50,0,UCT,UCT,1000,533,0,0.449679,0.550321,210,0.089840,0.093080,-0.000000
10,3,6,2.5,25000,0,1000,10,0,UCT,UCT,1000,505,0,0.404040,0.595960,200,0.159585,0.169031,-0.000000
10,3,6,2.5,25000,0,1000,1,0,UCT,UCT,1000,481,0,0.379576,0.620424,197,0.159287,0.167104,-0.000000
10,3,6,2.5,25000,0,1000,25,0,UCT,UCT,1000,541,0,0.464052,0.535948,213,0.170138,0.177747,-0.000000
10,3,6,2.5,25000,0,1000,50,0,UCT,UCT,1000,534,0,0.459227,0.540773,214,0.157813,0.163797,-0.000000
10,3,6,2.5,50000,0,1000,10,0,UCT,UCT,1000,526,0,0.392405,0.607595,186,0.342156,0.362451,-0.000000
10,3,6,2.5,50000,0,1000,1,0,UCT,UCT,1000,488,0,0.431641,0.568359,221,0.336977,0.352913,-0.000000
10,3,6,2.5,50000,0,1000,25,0,UCT,UCT,1000,520,0,0.450000,0.550000,216,0.339665,0.355604,-0.000000
10,3,6,2.5,50000,0,1000,50,0,UCT,UCT,1000,533,0,0.451820,0.548180,211,0.346814,0.362539,-0.000000
10,3,6,2.5,5000,0,1000,10,0,UCT,UCT,1000,533,0,0.445396,0.554604,208,0.027198,0.028371,-0.000000
10,3,6,2.5,5000,0,1000,1,0,UCT,UCT,1000,482,0,0.366795,0.633205,190,0.027360,0.029038,-0.000000
10,3,6,2.5,5000,0,1000,25,0,UCT,UCT,1000,524,0,0.462185,0.537815,220,0.026983,0.027937,-0.000000
10,3,6,2.5,5000,0,1000,50,0,UCT,UCT,1000,529,0,0.490446,0.509554,231,0.026741,0.027473,-0.000000
10,3,6,2.5,75000,0,1000,10,0,UCT,UCT,1000,500,0,0.352000,0.648000,176,0.528876,0.561533,-0.000000
10,3,6,2.5,75000,0,1000,1,0,UCT,UCT,1000,470,0,0.416981,0.583019,221,0.520887,0.543705,-0.000000
10,3,6,2.5,75000,0,1000,25,0,UCT,UCT,1000,541,0,0.450980,0.549020,207,0.526561,0.554322,-0.000000
10,3,6,2.5,75000,0,1000,50,0,UCT,UCT,1000,524,0,0.449580,0.550420,214,0.521901,0.548006,-0.000000
10,4,3,2.5,100000,0,1000,10,0,UCT,UCT,1000,645,0,0.633803,0.366197,225,0.576447,0.579721,-0.000000
10,4,3,2.5,100000,0,1000,1,0,UCT,UCT,1000,655,0,0.597101,0.402899,206,0.580114,0.579812,-0.000000
10,4,3,2.5,100000,0,1000,25,0,UCT,UCT,1000,674,0,0.622699,0.377301,203,0.580280,0.581734,-0.000000
10,4,3,2.5,100000,0,1000,50,0,UCT,UCT,1000,677,0,0.529412,0.470588,171,0.571697,0.574800,-0.000000
10,4,3,2.5,10000,0,1000,10,0,UCT,UCT,1000,592,0,0.534314,0.465686,218,0.046941,0.047529,-0.000000
10,4,3,2.5,10000,0,1000,1,0,UCT,UCT,1000,559,0,0.351474,0.648526,155,0.046805,0.047892,-0.000000
10,4,3,2.5,10000,0,1000,25,0,UCT,UCT,1000,603,0,0.581864,0.418136,231,0.046782,0.047011,-0.000000
10,4,3,2.5,10000,0,1000,50,0,UCT,UCT,1000,551,0,0.534521,0.465479,240,0.046424,0.046572,-0.000000
10,4,3,2.5,1000,0,1000,10,0,UCT,UCT,1000,486,0,0.725681,0.274319,373,0.004058,0.004044,-0.000000
10,4,3,2.5,1000,0,1000,1,0,UCT,UCT,1000,485,0,0.520388,0.479612,268,0.004082,0.004163,-0.000000
10,4,3,2.5,1000,0,1000,25,0,UCT,UCT,1000,461,0,0.764378,0.235622,412,0.004047,0.003999,-0.000000
10,4,3,2.5,1000,0,1000,50,0,UCT,UCT,1000,463,0,0.739292,0.260708,397,0.008578,0.008484,-0.000000
10,4,3,2.5,15000,0,1000,10,0,UCT,UCT,1000,630,0,0.481081,0.518919,178,0.072124,0.072996,-0.000000
10,4,3,2.5,15000,0,1000,1,0,UCT,UCT,1000,590,0,0.380488,0.619512,156,0.072255,0.073813,-0.000000
10,4,3,2.5,15000,0,1000,25,0,UCT,UCT,1000,592,0,0.485294,0.514706,198,0.072040,0.072568,-0.000000
10,4,3,2.5,15000,0,1000,50,0,UCT,UCT,1000,577,0,0.557920,0.442080,236,0.071929,0.072238,-0.000000
10,4,3,2.5,25000,0,1000,10,0,UCT,UCT,1000,613,0,0.527132,0.472868,204,0.126818,0.127813,-0.000000
