iterations,a1,a2,seg,domain,max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,score,unknown
25000,MC,DP,1,0,UCT,UCT,100,50,0,0.640000,0.360000,32,18,0.126380,0.147665,-0.000000
25000,MC,DP,24,0,UCT,UCT,100,10,0,0.988889,0.011111,89,1,0.207688,0.204623,-0.000000
25000,MC,DP,48,0,UCT,UCT,100,5,0,1.000000,0.000000,95,0,0.138303,0.116456,-0.000000
25000,MC,DP,4,0,UCT,UCT,100,54,0,0.891304,0.108696,41,5,0.132100,0.150393,-0.000000
25000,MC,DP,8,0,UCT,UCT,100,31,0,0.898551,0.101449,62,7,0.193584,0.218967,-0.000000
25000,CDP,MC,16,0,UCT,UCT,100,58,0,0.309524,0.690476,13,29,0.167596,0.138027,-0.000000
25000,CDP,MC,1,0,UCT,UCT,100,56,0,0.681818,0.318182,30,14,0.154116,0.128455,-0.000000
25000,CDP,MC,24,0,UCT,UCT,100,64,0,0.305556,0.694444,11,25,0.170870,0.140309,-0.000000
25000,CDP,MC,48,0,UCT,UCT,100,45,0,0.472727,0.527273,26,29,0.194677,0.156470,-0.000000
25000,CDP,MC,4,0,UCT,UCT,100,65,0,0.571429,0.428571,20,15,0.155302,0.128822,-0.000000
25000,CDP,MC,8,0,UCT,UCT,100,64,0,0.361111,0.638889,13,23,0.155594,0.129795,-0.000000
25000,Trails,MC,16,0,UCT,UCT,100,35,0,0.061538,0.938462,4,61,0.162420,0.137568,-0.000000
25000,Trails,MC,1,0,UCT,UCT,100,54,0,0.434783,0.565217,20,26,0.158735,0.135407,-0.000000
25000,Trails,MC,24,0,UCT,UCT,100,27,0,0.000000,1.000000,0,73,0.157669,0.142686,-0.000000
25000,Trails,MC,48,0,UCT,UCT,100,27,0,0.082192,0.917808,6,67,0.172544,0.167991,-0.000000
25000,Trails,MC,4,0,UCT,UCT,100,59,0,0.439024,0.560976,18,23,0.161007,0.136352,-0.000000
25000,Trails,MC,8,0,UCT,UCT,100,49,0,0.196078,0.803922,10,41,0.162930,0.137185,-0.000000
50000,MC,DP,16,0,UCT,UCT,100,11,0,0.988764,0.011236,88,1,0.436714,0.441204,-0.000000
50000,MC,DP,1,0,UCT,UCT,100,54,0,0.913043,0.086957,42,4,0.274629,0.321081,-0.000000
50000,MC,DP,24,0,UCT,UCT,100,4,0,1.000000,0.000000,96,0,0.309286,0.303764,-0.000000
50000,MC,DP,48,0,UCT,UCT,100,11,0,1.000000,0.000000,89,0,0.292667,0.243847,-0.000000
50000,MC,DP,4,0,UCT,UCT,100,52,0,0.916667,0.083333,44,4,0.275172,0.319166,-0.000000
50000,MC,DP,8,0,UCT,UCT,100,27,0,0.958904,0.041096,70,3,0.414029,0.471329,-0.000000
50000,CDP,MC,16,0,UCT,UCT,100,61,0,0.435897,0.564103,17,22,0.358444,0.288017,-0.000000
50000,CDP,MC,1,0,UCT,UCT,100,57,0,0.720930,0.279070,31,12,0.333475,0.274298,-0.000000
50000,CDP,MC,24,0,UCT,UCT,100,64,0,0.388889,0.611111,14,22,0.361592,0.289568,-0.000000
50000,CDP,MC,48,0,UCT,UCT,100,53,0,0.468085,0.531915,22,25,0.423294,0.339983,-0.000000
50000,CDP,MC,4,0,UCT,UCT,100,62,0,0.605263,0.394737,23,15,0.775774,0.640931,-0.000000
50000,CDP,MC,8,0,UCT,UCT,100,67,0,0.484848,0.515152,16,17,0.343182,0.276086,-0.000000
50000,Trails,MC,16,0,UCT,UCT,100,40,0,0.050000,0.950000,3,57,0.350236,0.297834,-0.000000
50000,Trails,MC,1,0,UCT,UCT,100,59,0,0.439024,0.560976,18,23,0.337687,0.283641,-0.000000
50000,Trails,MC,24,0,UCT,UCT,100,29,0,0.000000,1.000000,0,71,0.348480,0.313145,-0.000000
50000,Trails,MC,48,0,UCT,UCT,100,20,0,0.050000,0.950000,4,76,0.349677,0.343143,-0.000000
50000,Trails,MC,4,0,UCT,UCT,100,58,0,0.261905,0.738095,11,31,0.346713,0.286194,-0.000000
50000,Trails,MC,8,0,UCT,UCT,100,48,0,0.173077,0.826923,9,43,0.343658,0.286944,-0.000000
75000,MC,DP,16,0,UCT,UCT,100,14,0,0.988372,0.011628,85,1,0.685178,0.673795,-0.000000
75000,MC,DP,1,0,UCT,UCT,100,52,0,0.812500,0.187500,39,9,0.419134,0.501863,-0.000000
75000,MC,DP,24,0,UCT,UCT,100,7,0,1.000000,0.000000,93,0,0.690561,0.659533,-0.000000
75000,MC,DP,48,0,UCT,UCT,100,5,0,1.000000,0.000000,95,0,0.464882,0.377888,-0.000000
75000,MC,DP,4,0,UCT,UCT,100,41,0,0.864407,0.135593,51,8,0.428898,0.493537,-0.000000
75000,MC,DP,8,0,UCT,UCT,100,34,0,0.969697,0.030303,64,2,0.438433,0.470022,-0.000000
75000,CDP,MC,16,0,UCT,UCT,100,53,0,0.361702,0.638298,17,30,0.558429,0.438975,-0.000000
75000,CDP,MC,1,0,UCT,UCT,100,62,0,0.447368,0.552632,17,21,0.524754,0.424330,-0.000000
75000,CDP,MC,24,0,UCT,UCT,100,55,0,0.266667,0.733333,12,33,0.568036,0.455839,-0.000000
75000,CDP,MC,48,0,UCT,UCT,100,54,0,0.586957,0.413043,27,19,0.667838,0.526903,-0.000000
75000,CDP,MC,8,0,UCT,UCT,100,69,0,0.322581,0.677419,10,21,0.541117,0.430030,-0.000000
75000,Trails,MC,16,0,UCT,UCT,100,36,0,0.031250,0.968750,2,62,0.545399,0.463445,-0.000000
75000,Trails,MC,1,0,UCT,UCT,100,63,0,0.513514,0.486486,19,18,0.525416,0.428358,-0.000000
75000,Trails,MC,24,0,UCT,UCT,100,31,0,0.028986,0.971014,2,67,0.528195,0.478559,-0.000000
75000,Trails,MC,48,0,UCT,UCT,100,20,0,0.050000,0.950000,4,76,0.549508,0.537238,-0.000000
75000,Trails,MC,4,0,UCT,UCT,100,45,0,0.218182,0.781818,12,43,0.532426,0.440738,-0.000000
75000,Trails,MC,8,0,UCT,UCT,100,50,0,0.200000,0.800000,10,40,0.548687,0.454532,-0.000000
