pits,heuristics,c,iterations,seed,num_games,ci_threshold,domain,max_alg,min_alg,num_of_games,num_of_draws,max_win,min_win,total_win_games,max_time,min_time
10,6,2.5,5000,0,100,90,0,MMUCT,UCT,100,59,0.560976,0.439024,23,0.026813,0.026558
10,6,2.5,75000,0,100,120,0,MMUCT,UCT,100,49,0.352941,0.647059,18,0.522004,0.51836
10,6,2.5,75000,0,100,30,0,MMUCT,UCT,100,53,0.404255,0.595745,19,0.523312,0.516035
10,6,2.5,75000,0,100,60,0,MMUCT,UCT,100,49,0.490196,0.509804,25,0.521134,0.511518
10,6,2.5,75000,0,100,90,0,MMUCT,UCT,100,52,0.375,0.625,18,0.522103,0.518394
10,3,2.5,1000,0,100,100,0,MMUCT,UCT,100,48,0.5,0.5,26,0.003979,0.003948
10,3,2.5,5000,0,100,100,0,MMUCT,UCT,100,48,0.423077,0.576923,22,0.091768,0.091571
10,3,2.5,10000,0,100,100,0,MMUCT,UCT,100,50,0.48,0.52,24,0.045506,0.045589
10,3,2.5,15000,0,100,100,0,MMUCT,UCT,100,64,0.583333,0.416667,21,0.535812,0.532957
10,3,2.5,25000,0,100,100,0,MMUCT,UCT,100,58,0.333333,0.666667,14,0.123417,0.122827
10,3,2.5,50000,0,100,100,0,MMUCT,UCT,100,66,0.617647,0.382353,21,0.263633,0.261061
10,3,2.5,75000,0,100,100,0,MMUCT,UCT,100,79,0.52381,0.47619,11,0.409477,0.407045
10,3,2.5,100000,0,100,100,0,MMUCT,UCT,100,74,0.384615,0.615385,10,0.560459,0.557542
10,6,2.5,1000,0,100,100,0,MMUCT,UCT,100,49,0.470588,0.529412,24,0.004636,0.004664
10,6,2.5,5000,0,100,100,0,MMUCT,UCT,100,40,0.55,0.45,33,0.026719,0.026824
10,6,2.5,10000,0,100,100,0,MMUCT,UCT,100,53,0.595745,0.404255,28,0.057806,0.057137
10,6,2.5,15000,0,100,100,0,MMUCT,UCT,100,56,0.5,0.5,22,0.089424,0.089194
10,6,2.5,25000,0,100,100,0,MMUCT,UCT,100,50,0.52,0.48,26,0.157165,0.154732
10,6,2.5,50000,0,100,100,0,MMUCT,UCT,100,46,0.462963,0.537037,25,0.334167,0.332469
10,6,2.5,75000,0,100,100,0,MMUCT,UCT,100,52,0.479167,0.520833,23,0.521723,0.515105
10,6,2.5,100000,0,100,100,0,MMUCT,UCT,100,50,0.52,0.48,26,0.711644,0.705501
