Seed, Instance, GS_level,  Iterations, H , GS_Move, GS_Move_Val, UCT_Move, UCT_Move_Val, UCT_GS_Move_Val, CDP_Move, CDP_Move_Val, CDP_GS_Move_Val, MM_Move, MM_Move_Val, MM_GS_Move_Val
578, 578, 12, 5000, h3 , 0, 1.000000, 5, 0.098997, -999999999.000000, 5, 0.098997 , -999999999.000000, 5, 1.000000 , -999999999.000000
579, 579, 12, 5000, h3 , 0, 1.000000, 0, 0.111750, 0.111750, 0, 0.116026 , 0.116026, 3, 1.000000 , -1.000000
580, 580, 12, 5000, h3 , 0, 1.000000, 1, 0.074014, 0.048057, 1, 0.074014 , 0.047374, 1, 1.000000 , -1.000000
581, 581, 12, 5000, h3 , 0, 1.000000, 1, 0.087397, 0.075356, 1, 0.084871 , 0.075975, 2, 1.000000 , -1.000000
582, 582, 12, 5000, h3 , 2, 1.000000, 2, 0.239706, 0.239706, 2, 0.240408 , 0.240408, 2, 1.000000 , 1.000000
583, 583, 12, 5000, h3 , 6, 0.000000, 1, 0.023577, 0.000000, 1, 0.023577 , 0.000000, 0, -1.000000 , 0.000000
584, 584, 12, 5000, h3 , 6, 0.000000, 0, -0.018200, 0.000000, 0, -0.021396 , 0.000000, 0, -1.000000 , 0.000000
585, 585, 12, 5000, h3 , 6, 0.000000, 0, 0.123577, 0.000000, 0, 0.123085 , 0.000000, 3, 1.000000 , 0.000000
586, 586, 12, 5000, h3 , 6, 0.000000, 2, 0.109912, 0.000000, 2, 0.109912 , 0.000000, 5, 1.000000 , 0.000000
587, 587, 12, 5000, h3 , 6, 0.000000, 4, 0.189106, 0.000000, 4, 0.187958 , 0.000000, 0, -1.000000 , 0.000000
588, 588, 12, 5000, h3 , 6, 0.000000, 4, 0.071381, 0.000000, 4, 0.070423 , 0.000000, 0, -1.000000 , 0.000000
589, 589, 12, 5000, h3 , 0, 1.000000, 0, 0.117845, 0.117845, 0, 0.119433 , 0.119433, 2, 1.000000 , 0.000000
590, 590, 12, 5000, h3 , 0, 1.000000, 2, 0.174085, 0.152517, 2, 0.171283 , 0.152517, 0, 1.000000 , 1.000000
591, 591, 12, 5000, h3 , 6, 0.000000, 3, 0.136386, 0.000000, 3, 0.132623 , 0.000000, 3, 1.000000 , 0.000000
592, 592, 12, 5000, h3 , 1, 1.000000, 1, 0.221362, 0.221362, 1, 0.224201 , 0.224201, 1, 1.000000 , 1.000000
593, 593, 12, 5000, h3 , 0, 1.000000, 0, 0.144614, 0.144614, 0, 0.149500 , 0.149500, 0, 1.000000 , 1.000000
594, 594, 12, 5000, h3 , 0, 1.000000, 1, 0.100865, 0.082561, 1, 0.100865 , 0.076531, 0, 1.000000 , 1.000000
595, 595, 12, 5000, h3 , 0, 1.000000, 1, 0.204367, 0.155760, 1, 0.205272 , 0.155760, 0, 1.000000 , 1.000000
596, 596, 12, 5000, h3 , 0, 1.000000, 1, 0.141343, 0.059406, 1, 0.140496 , 0.059406, 0, -1.000000 , -1.000000
597, 597, 12, 5000, h3 , 4, 0.000000, 4, 0.440898, 0.440898, 4, 0.440420 , 0.440420, 2, 1.000000 , 0.000000
598, 598, 12, 5000, h3 , 2, 1.000000, 2, 0.189648, 0.189648, 2, 0.190090 , 0.190090, 2, 1.000000 , 1.000000
599, 599, 12, 5000, h3 , 0, 1.000000, 4, 0.106470, 0.103275, 4, 0.113955 , 0.104907, 0, 1.000000 , 1.000000
600, 600, 12, 5000, h3 , 0, 1.000000, 3, 0.187318, 0.126203, 3, 0.189726 , 0.126203, 1, 1.000000 , -1.000000
601, 601, 12, 5000, h3 , 6, 0.000000, 2, 0.118933, 0.000000, 2, 0.118369 , 0.000000, 0, -1.000000 , 0.000000
602, 602, 12, 5000, h3 , 0, 0.000000, 2, 0.055507, 0.054965, 0, 0.057881 , 0.057881, 0, -1.000000 , -1.000000
603, 603, 12, 5000, h3 , 0, 1.000000, 1, 0.167955, 0.104536, 1, 0.170301 , 0.111221, 1, 1.000000 , 0.000000
604, 604, 12, 5000, h3 , 1, 1.000000, 5, 0.291174, 0.000000, 5, 0.292757 , 0.014706, 0, 1.000000 , 0.000000
605, 605, 12, 5000, h3 , 0, 1.000000, 1, 0.143436, 0.112886, 1, 0.142973 , 0.112886, 0, 1.000000 , 1.000000
606, 606, 12, 5000, h3 , 6, 0.000000, 3, 0.160281, 0.000000, 3, 0.158919 , 0.000000, 0, -1.000000 , 0.000000
607, 607, 12, 5000, h3 , 0, 1.000000, 2, 0.157495, 0.084178, 2, 0.162850 , 0.083418, 0, 1.000000 , 1.000000
608, 608, 12, 5000, h3 , 6, 0.000000, 5, 0.204508, 0.000000, 5, 0.201854 , 0.000000, 0, -1.000000 , 0.000000
609, 609, 12, 5000, h3 , 0, 1.000000, 0, 0.068685, 0.068685, 0, 0.067507 , 0.067507, 3, 1.000000 , 0.000000
