iterations,a1,a2,seg,domain,max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,score,unknown
1000,1,2,1,0,UCT,UCT,1000,498,0,0.364542,0.635458,183,319,0.007004,0.007696,-0.000000
1000,1,2,20,0,UCT,UCT,1000,441,0,0.583184,0.416816,326,233,0.004833,0.004459,-0.000000
1000,1,2,24,0,UCT,UCT,1000,436,0,0.604610,0.395390,341,223,0.004041,0.003867,-0.000000
1000,1,2,4,0,UCT,UCT,1000,479,0,0.429942,0.570058,224,297,0.004794,0.004977,-0.000000
1000,1,2,8,0,UCT,UCT,1000,449,0,0.569873,0.430127,314,237,0.004841,0.004762,-0.000000
1000,6,1,10,0,UCT,UCT,1000,474,0,0.648289,0.351711,341,185,0.005088,0.004747,-0.000000
1000,6,1,16,0,UCT,UCT,1000,458,0,0.649446,0.350554,352,190,0.005187,0.004845,-0.000000
1000,6,1,1,0,UCT,UCT,1000,493,0,0.593688,0.406312,301,206,0.005022,0.004681,-0.000000
1000,6,1,20,0,UCT,UCT,1000,464,0,0.597015,0.402985,320,216,0.005168,0.004793,-0.000000
1000,6,1,24,0,UCT,UCT,1000,415,0,0.596581,0.403419,349,236,0.004937,0.004558,-0.000000
1000,6,1,4,0,UCT,UCT,1000,513,0,0.628337,0.371663,306,181,0.005067,0.004689,-0.000000
1000,6,1,8,0,UCT,UCT,1000,503,0,0.609658,0.390342,303,194,0.005087,0.004727,-0.000000
1000,6,2,10,0,UCT,UCT,1000,452,0,0.677007,0.322993,371,177,0.005214,0.004674,-0.000000
1000,6,2,16,0,UCT,UCT,1000,436,0,0.641844,0.358156,362,202,0.007764,0.006573,-0.000000
1000,6,2,1,0,UCT,UCT,1000,518,0,0.439834,0.560166,212,270,0.005173,0.005236,-0.000000
1000,6,2,20,0,UCT,UCT,1000,445,0,0.628829,0.371171,349,206,0.005206,0.004453,-0.000000
1000,6,2,24,0,UCT,UCT,1000,469,0,0.640301,0.359699,340,191,0.004333,0.003844,-0.000000
1000,6,2,4,0,UCT,UCT,1000,476,0,0.492366,0.507634,258,266,0.005149,0.005002,-0.000000
1000,6,2,8,0,UCT,UCT,1000,440,0,0.657143,0.342857,368,192,0.005198,0.004780,-0.000000
1000,9,1,10,0,UCT,UCT,1000,459,0,0.528651,0.471349,286,255,0.005116,0.004794,-0.000000
1000,9,1,16,0,UCT,UCT,1000,440,0,0.537500,0.462500,301,259,0.004844,0.004837,-0.000000
1000,9,1,1,0,UCT,UCT,1000,494,0,0.529644,0.470356,268,238,0.005363,0.004703,-0.000000
1000,9,1,20,0,UCT,UCT,1000,424,0,0.552083,0.447917,318,258,0.004775,0.004779,-0.000000
1000,9,1,24,0,UCT,UCT,1000,450,0,0.480000,0.520000,264,286,0.004040,0.003981,-0.000000
1000,9,1,4,0,UCT,UCT,1000,497,0,0.594433,0.405567,299,204,0.005468,0.004858,-0.000000
1000,9,1,8,0,UCT,UCT,1000,436,0,0.514184,0.485816,290,274,0.005213,0.004779,-0.000000
1000,9,2,10,0,UCT,UCT,1000,455,0,0.611009,0.388991,333,212,0.005214,0.004689,-0.000000
1000,9,2,16,0,UCT,UCT,1000,444,0,0.661870,0.338129,368,188,0.007224,0.006555,-0.000000
1000,9,2,1,0,UCT,UCT,1000,471,0,0.391304,0.608696,207,322,0.014408,0.013740,-0.000000
1000,9,2,20,0,UCT,UCT,1000,447,0,0.607595,0.392405,336,217,0.004832,0.004473,-0.000000
1000,9,2,24,0,UCT,UCT,1000,484,0,0.604651,0.395349,312,204,0.004672,0.004439,-0.000000
1000,9,2,4,0,UCT,UCT,1000,477,0,0.474187,0.525813,248,275,0.011470,0.010617,-0.000000
1000,9,2,8,0,UCT,UCT,1000,432,0,0.632042,0.367958,359,209,0.005349,0.004800,-0.000000
25000,1,2,10,0,UCT,UCT,1000,473,0,0.489564,0.510436,258,269,0.167780,0.149202,-0.000000
25000,1,2,16,0,UCT,UCT,1000,440,0,0.571429,0.428571,320,240,0.149452,0.123947,-0.000000
25000,1,2,1,0,UCT,UCT,1000,479,0,0.276392,0.723608,144,377,0.248980,0.282243,-0.000000
25000,1,2,20,0,UCT,UCT,1000,469,0,0.521657,0.478343,277,254,0.254975,0.201328,-0.000000
25000,1,2,24,0,UCT,UCT,1000,469,0,0.666667,0.333333,354,177,0.156133,0.136490,-0.000000
25000,1,2,4,0,UCT,UCT,1000,483,0,0.319149,0.680851,165,352,0.164648,0.171844,-0.000000
25000,1,2,8,0,UCT,UCT,1000,463,0,0.482309,0.517691,259,278,0.167179,0.155536,-0.000000
25000,6,1,10,0,UCT,UCT,1000,500,0,0.590000,0.410000,295,205,0.192440,0.163376,-0.000000
25000,6,1,16,0,UCT,UCT,1000,462,0,0.626394,0.373606,337,201,0.194885,0.166603,-0.000000
25000,6,1,1,0,UCT,UCT,1000,493,0,0.619329,0.380671,314,193,0.189386,0.161458,-0.000000
25000,6,1,20,0,UCT,UCT,1000,492,0,0.511811,0.488189,260,248,0.191574,0.163095,-0.000000
25000,6,1,24,0,UCT,UCT,1000,504,0,0.532258,0.467742,264,232,0.151560,0.131032,-0.000000
25000,6,1,4,0,UCT,UCT,1000,522,0,0.642259,0.357741,307,171,0.190722,0.162027,-0.000000
25000,6,1,8,0,UCT,UCT,1000,493,0,0.635108,0.364892,322,185,0.191978,0.162494,-0.000000
25000,6,2,10,0,UCT,UCT,1000,518,0,0.595436,0.404564,287,195,0.197341,0.149684,-0.000000
25000,6,2,16,0,UCT,UCT,1000,471,0,0.603025,0.396975,319,210,0.309151,0.209271,-0.000000
25000,6,2,1,0,UCT,UCT,1000,525,0,0.336842,0.663158,160,315,0.191633,0.180556,-0.000000
25000,6,2,20,0,UCT,UCT,1000,467,0,0.540338,0.459662,288,245,0.196693,0.138147,-0.000000
25000,6,2,24,0,UCT,UCT,1000,443,0,0.626571,0.373429,349,208,0.159025,0.119831,-0.000000
25000,6,2,4,0,UCT,UCT,1000,498,0,0.448207,0.551793,225,277,0.194214,0.172056,-0.000000
25000,6,2,8,0,UCT,UCT,1000,483,0,0.543520,0.456480,281,236,0.196826,0.155066,-0.000000
25000,9,1,10,0,UCT,UCT,1000,467,0,0.598499,0.401501,319,214,0.178756,0.164675,-0.000000
25000,9,1,16,0,UCT,UCT,1000,418,0,0.627148,0.372852,365,217,0.245879,0.257612,-0.000000
25000,9,1,1,0,UCT,UCT,1000,524,0,0.605042,0.394958,288,188,0.191104,0.161736,-0.000000
25000,9,1,20,0,UCT,UCT,1000,452,0,0.520073,0.479927,285,263,0.154536,0.163820,-0.000000
25000,9,1,24,0,UCT,UCT,1000,452,0,0.534672,0.465328,293,255,0.152143,0.156819,-0.000000
25000,9,1,4,0,UCT,UCT,1000,521,0,0.613779,0.386221,294,185,0.189213,0.163017,-0.000000
25000,9,1,8,0,UCT,UCT,1000,525,0,0.566316,0.433684,269,206,0.183208,0.165241,-0.000000
25000,9,2,10,0,UCT,UCT,1000,440,0,0.616071,0.383929,345,215,0.182000,0.149967,-0.000000
25000,9,2,16,0,UCT,UCT,1000,438,0,0.688612,0.311388,387,175,0.146178,0.124472,-0.000000
25000,9,2,1,0,UCT,UCT,1000,517,0,0.349896,0.650104,169,314,0.193347,0.179655,-0.000000
25000,9,2,20,0,UCT,UCT,1000,419,0,0.598967,0.401033,348,233,0.238561,0.201578,-0.000000
25000,9,2,24,0,UCT,UCT,1000,469,0,0.608286,0.391714,323,208,0.152218,0.137856,-0.000000
25000,9,2,4,0,UCT,UCT,1000,512,0,0.387295,0.612705,189,299,0.191839,0.171516,-0.000000
25000,9,2,8,0,UCT,UCT,1000,446,0,0.523466,0.476534,290,264,0.186891,0.155287,-0.000000
50000,1,2,10,0,UCT,UCT,1000,500,0,0.504000,0.496000,252,248,0.359802,0.315963,-0.000000
50000,1,2,16,0,UCT,UCT,1000,454,0,0.549451,0.450549,300,246,0.317175,0.262626,-0.000000
50000,1,2,1,0,UCT,UCT,1000,501,0,0.266533,0.733467,133,366,0.533981,0.592793,-0.000000
50000,1,2,20,0,UCT,UCT,1000,463,0,0.534451,0.465549,287,250,0.355041,0.292774,-0.000000
50000,1,2,24,0,UCT,UCT,1000,460,0,0.642593,0.357407,347,193,0.331591,0.290400,-0.000000
50000,1,2,4,0,UCT,UCT,1000,485,0,0.341748,0.658252,176,339,0.349241,0.360946,-0.000000
50000,1,2,8,0,UCT,UCT,1000,492,0,0.472441,0.527559,240,268,0.365822,0.336156,-0.000000
50000,6,1,10,0,UCT,UCT,1000,480,0,0.651923,0.348077,339,181,0.414469,0.348320,-0.000000
50000,6,1,16,0,UCT,UCT,1000,472,0,0.664773,0.335227,351,177,0.425264,0.362061,-0.000000
50000,6,1,1,0,UCT,UCT,1000,503,0,0.645875,0.354125,321,176,0.407647,0.341168,-0.000000
50000,6,1,20,0,UCT,UCT,1000,482,0,0.548263,0.451737,284,234,0.409385,0.346499,-0.000000
50000,6,1,24,0,UCT,UCT,1000,534,0,0.472103,0.527897,220,246,0.322677,0.277666,-0.000000
50000,6,1,4,0,UCT,UCT,1000,503,0,0.651911,0.348089,324,173,0.410753,0.343008,-0.000000
50000,6,1,8,0,UCT,UCT,1000,512,0,0.637295,0.362705,311,177,0.412703,0.347673,-0.000000
50000,6,2,10,0,UCT,UCT,1000,484,0,0.585271,0.414729,302,214,0.426525,0.317164,-0.000000
50000,6,2,16,0,UCT,UCT,1000,426,0,0.649826,0.350174,373,201,0.669469,0.441589,-0.000000
50000,6,2,1,0,UCT,UCT,1000,510,0,0.344898,0.655102,169,321,0.415741,0.378247,-0.000000
50000,6,2,20,0,UCT,UCT,1000,466,0,0.531835,0.468165,284,250,0.421486,0.291506,-0.000000
50000,6,2,24,0,UCT,UCT,1000,474,0,0.612167,0.387833,322,204,0.389236,0.288530,-0.000000
50000,6,2,4,0,UCT,UCT,1000,499,0,0.411178,0.588822,206,295,0.418225,0.362334,-0.000000
