pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,domain, max_alg, min_alg ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,3,0.5,3,100000,0,100,2,700,0,BFB,MINMAX,100,48,0,0.5,0.5,26
6,3,0.5,3,10000,0,100,2,1000,0,BFB,MINMAX,100,55,0,0.377778,0.622222,17
6,3,0.5,3,10000,0,100,2,100,0,BFB,MINMAX,100,49,0,0.411765,0.588235,21
6,3,0.5,3,10000,0,100,2,5000,0,BFB,MINMAX,100,47,0,0.415094,0.584906,22
6,3,0.5,3,10000,0,100,2,500,0,BFB,MINMAX,100,52,0,0.375,0.625,18
6,3,0.5,3,10000,0,100,2,700,0,BFB,MINMAX,100,49,0,0.411765,0.588235,21
6,3,0.5,3,1000,0,100,2,1000,0,BFB,MINMAX,100,31,0,0.173913,0.826087,12
6,3,0.5,3,1000,0,100,2,100,0,BFB,MINMAX,100,40,0,0.466667,0.533333,28
6,3,0.5,3,1000,0,100,2,5000,0,BFB,MINMAX,100,41,0,0.169492,0.830508,10
6,3,0.5,3,1000,0,100,2,500,0,BFB,MINMAX,100,45,0,0.381818,0.618182,21
6,3,0.5,3,1000,0,100,2,700,0,BFB,MINMAX,100,51,0,0.326531,0.673469,16
6,3,0.5,3,15000,0,100,2,1000,0,BFB,MINMAX,100,53,0,0.510638,0.489362,24
6,3,0.5,3,15000,0,100,2,100,0,BFB,MINMAX,100,52,0,0.354167,0.645833,17
6,3,0.5,3,15000,0,100,2,5000,0,BFB,MINMAX,100,46,0,0.277778,0.722222,15
6,3,0.5,3,15000,0,100,2,500,0,BFB,MINMAX,100,47,0,0.339623,0.660377,18
6,3,0.5,3,15000,0,100,2,700,0,BFB,MINMAX,100,47,0,0.45283,0.54717,24
6,3,0.5,3,5000,0,100,2,1000,0,BFB,MINMAX,100,46,0,0.425926,0.574074,23
6,3,0.5,3,5000,0,100,2,100,0,BFB,MINMAX,100,49,0,0.411765,0.588235,21
6,3,0.5,3,5000,0,100,2,5000,0,BFB,MINMAX,100,36,0,0.1875,0.8125,12
6,3,0.5,3,5000,0,100,2,500,0,BFB,MINMAX,100,43,0,0.561404,0.438596,32
6,3,0.5,3,5000,0,100,2,700,0,BFB,MINMAX,100,48,0,0.461538,0.538462,24
6,3,2.5,1,100000,0,100,2,1000,0,BFB,MINMAX,100,56,0,0.681818,0.318182,30
6,3,2.5,1,100000,0,100,2,100,0,BFB,MINMAX,100,46,0,0.611111,0.388889,33
6,3,2.5,1,100000,0,100,2,5000,0,BFB,MINMAX,100,43,0,0.403509,0.596491,23
6,3,2.5,1,100000,0,100,2,500,0,BFB,MINMAX,100,52,0,0.625,0.375,30
6,3,2.5,1,10000,0,100,2,1000,0,BFB,MINMAX,100,40,0,0.55,0.45,33
6,3,2.5,1,10000,0,100,2,100,0,BFB,MINMAX,100,39,0,0.606557,0.393443,37
6,3,2.5,1,10000,0,100,2,5000,0,BFB,MINMAX,100,39,0,0.360656,0.639344,22
6,3,2.5,1,10000,0,100,2,500,0,BFB,MINMAX,100,49,0,0.627451,0.372549,32
6,3,2.5,1,10000,0,100,2,700,0,BFB,MINMAX,100,48,0,0.538462,0.461538,28
6,3,2.5,1,1000,0,100,2,1000,0,BFB,MINMAX,100,46,0,0.351852,0.648148,19
6,3,2.5,1,1000,0,100,2,100,0,BFB,MINMAX,100,47,0,0.415094,0.584906,22
6,3,2.5,1,1000,0,100,2,5000,0,BFB,MINMAX,100,40,0,0.2,0.8,12
6,3,2.5,1,1000,0,100,2,500,0,BFB,MINMAX,100,55,0,0.6,0.4,27
6,3,2.5,1,1000,0,100,2,700,0,BFB,MINMAX,100,51,0,0.489796,0.510204,24
6,3,2.5,1,15000,0,100,2,1000,0,BFB,MINMAX,100,48,0,0.538462,0.461538,28
6,3,2.5,1,15000,0,100,2,100,0,BFB,MINMAX,100,62,0,0.605263,0.394737,23
6,3,2.5,1,15000,0,100,2,5000,0,BFB,MINMAX,100,55,0,0.311111,0.688889,14
6,3,2.5,1,15000,0,100,2,500,0,BFB,MINMAX,100,53,0,0.595745,0.404255,28
6,3,2.5,1,15000,0,100,2,700,0,BFB,MINMAX,100,48,0,0.538462,0.461538,28
6,3,2.5,1,5000,0,100,2,1000,0,BFB,MINMAX,100,48,0,0.557692,0.442308,29
6,3,2.5,1,5000,0,100,2,100,0,BFB,MINMAX,100,56,0,0.5,0.5,22
6,3,2.5,1,5000,0,100,2,5000,0,BFB,MINMAX,100,39,0,0.180328,0.819672,11
6,3,2.5,1,5000,0,100,2,500,0,BFB,MINMAX,100,59,0,0.585366,0.414634,24
6,3,2.5,1,5000,0,100,2,700,0,BFB,MINMAX,100,48,0,0.615385,0.384615,32
6,3,2.5,2,100000,0,100,2,1000,0,BFB,MINMAX,100,48,0,0.557692,0.442308,29
6,3,2.5,2,100000,0,100,2,100,0,BFB,MINMAX,100,62,0,0.447368,0.552632,17
6,3,2.5,2,100000,0,100,2,5000,0,BFB,MINMAX,100,45,0,0.363636,0.636364,20
6,3,2.5,2,100000,0,100,2,500,0,BFB,MINMAX,100,51,0,0.591837,0.408163,29
6,3,2.5,2,10000,0,100,2,1000,0,BFB,MINMAX,100,55,0,0.622222,0.377778,28
6,3,2.5,2,10000,0,100,2,100,0,BFB,MINMAX,100,58,0,0.452381,0.547619,19
6,3,2.5,2,10000,0,100,2,5000,0,BFB,MINMAX,100,42,0,0.396552,0.603448,23
6,3,2.5,2,10000,0,100,2,500,0,BFB,MINMAX,100,50,0,0.64,0.36,32
6,3,2.5,2,10000,0,100,2,700,0,BFB,MINMAX,100,49,0,0.666667,0.333333,34
6,3,2.5,2,1000,0,100,2,1000,0,BFB,MINMAX,100,53,0,0.297872,0.702128,14
6,3,2.5,2,1000,0,100,2,100,0,BFB,MINMAX,100,55,0,0.488889,0.511111,22
6,3,2.5,2,1000,0,100,2,5000,0,BFB,MINMAX,100,40,0,0.2,0.8,12
6,3,2.5,2,1000,0,100,2,500,0,BFB,MINMAX,100,51,0,0.510204,0.489796,25
6,3,2.5,2,1000,0,100,2,700,0,BFB,MINMAX,100,51,0,0.387755,0.612245,19
6,3,2.5,2,15000,0,100,2,1000,0,BFB,MINMAX,100,45,0,0.527273,0.472727,29
6,3,2.5,2,15000,0,100,2,100,0,BFB,MINMAX,100,56,0,0.613636,0.386364,27
6,3,2.5,2,15000,0,100,2,5000,0,BFB,MINMAX,100,47,0,0.490566,0.509434,26
6,3,2.5,2,15000,0,100,2,500,0,BFB,MINMAX,100,58,0,0.619048,0.380952,26
6,3,2.5,2,15000,0,100,2,700,0,BFB,MINMAX,100,52,0,0.583333,0.416667,28
6,3,2.5,2,5000,0,100,2,1000,0,BFB,MINMAX,100,36,0,0.546875,0.453125,35
6,3,2.5,2,5000,0,100,2,100,0,BFB,MINMAX,100,51,0,0.469388,0.530612,23
6,3,2.5,2,5000,0,100,2,5000,0,BFB,MINMAX,100,40,0,0.233333,0.766667,14
6,3,2.5,2,5000,0,100,2,500,0,BFB,MINMAX,100,42,0,0.568965,0.431034,33
6,3,2.5,2,5000,0,100,2,700,0,BFB,MINMAX,100,54,0,0.608696,0.391304,28
6,3,2.5,3,100000,0,100,2,1000,0,BFB,MINMAX,100,50,0,0.8,0.2,40
6,3,2.5,3,100000,0,100,2,100,0,BFB,MINMAX,100,60,0,0.75,0.25,30
6,3,2.5,3,100000,0,100,2,5000,0,BFB,MINMAX,100,51,0,0.530612,0.469388,26
6,3,2.5,3,100000,0,100,2,500,0,BFB,MINMAX,100,52,0,0.75,0.25,36
6,3,2.5,3,100000,0,100,2,700,0,BFB,MINMAX,100,51,0,0.77551,0.22449,38
6,3,2.5,3,10000,0,100,2,1000,0,BFB,MINMAX,100,50,0,0.72,0.28,36
6,3,2.5,3,10000,0,100,2,100,0,BFB,MINMAX,100,52,0,0.541667,0.458333,26
6,3,2.5,3,10000,0,100,2,5000,0,BFB,MINMAX,100,63,0,0.432432,0.567568,16
6,3,2.5,3,10000,0,100,2,500,0,BFB,MINMAX,100,60,0,0.675,0.325,27
6,3,2.5,3,10000,0,100,2,700,0,BFB,MINMAX,100,57,0,0.674419,0.325581,29
6,3,2.5,3,1000,0,100,2,1000,0,BFB,MINMAX,100,59,0,0.268293,0.731707,11
6,3,2.5,3,1000,0,100,2,100,0,BFB,MINMAX,100,55,0,0.533333,0.466667,24
6,3,2.5,3,1000,0,100,2,5000,0,BFB,MINMAX,100,40,0,0.2,0.8,12
6,3,2.5,3,1000,0,100,2,500,0,BFB,MINMAX,100,55,0,0.377778,0.622222,17
6,3,2.5,3,1000,0,100,2,700,0,BFB,MINMAX,100,52,0,0.5625,0.4375,27
6,3,2.5,3,15000,0,100,2,1000,0,BFB,MINMAX,100,51,0,0.612245,0.387755,30
6,3,2.5,3,15000,0,100,2,100,0,BFB,MINMAX,100,51,0,0.612245,0.387755,30
6,3,2.5,3,15000,0,100,2,5000,0,BFB,MINMAX,100,46,0,0.5,0.5,27
6,3,2.5,3,15000,0,100,2,500,0,BFB,MINMAX,100,41,0,0.711864,0.288136,42
6,3,2.5,3,15000,0,100,2,700,0,BFB,MINMAX,100,48,0,0.634615,0.365385,33
6,3,2.5,3,5000,0,100,2,1000,0,BFB,MINMAX,100,53,0,0.446809,0.553191,21
6,3,2.5,3,5000,0,100,2,100,0,BFB,MINMAX,100,58,0,0.642857,0.357143,27
6,3,2.5,3,5000,0,100,2,5000,0,BFB,MINMAX,100,44,0,0.125,0.875,7
6,3,2.5,3,5000,0,100,2,500,0,BFB,MINMAX,100,57,0,0.465116,0.534884,20
6,3,2.5,3,5000,0,100,2,700,0,BFB,MINMAX,100,49,0,0.666667,0.333333,34
6,3,0.5,NA,100000,0,100,NA,NA,0,UCT,MINMAX,100,40,0,0.316667,0.683333,19
6,3,0.5,NA,10000,0,100,NA,NA,0,UCT,MINMAX,100,41,0,0.288136,0.711864,17
6,3,0.5,NA,1000,0,100,NA,NA,0,UCT,MINMAX,100,38,0,0.306452,0.693548,19
6,3,0.5,NA,15000,0,100,NA,NA,0,UCT,MINMAX,100,44,0,0.232143,0.767857,13
6,3,0.5,NA,5000,0,100,NA,NA,0,UCT,MINMAX,100,39,0,0.114754,0.885246,7
6,3,2.5,NA,100000,0,100,NA,NA,0,UCT,MINMAX,100,44,0,0.285714,0.714286,16
6,3,2.5,NA,10000,0,100,NA,NA,0,UCT,MINMAX,100,47,0,0.245283,0.754717,13
6,3,2.5,NA,1000,0,100,NA,NA,0,UCT,MINMAX,100,34,0,0.181818,0.818182,12
6,3,2.5,NA,15000,0,100,NA,NA,0,UCT,MINMAX,100,48,0,0.211538,0.788462,11
6,3,2.5,NA,5000,0,100,NA,NA,0,UCT,MINMAX,100,51,0,0.265306,0.734694,13
