pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,domain, max_alg, min_alg, mm_level ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,1,0.5,3,100000,0,100,2,500,0,BFB,MINMAX,3,100,35,0,0.984615,0.015385,64
6,1,0.5,3,100000,0,100,2,700,0,BFB,MINMAX,3,100,39,0,1,0,61
6,1,0.5,3,10000,0,100,2,1000,0,BFB,MINMAX,3,100,28,0,0.986111,0.013889,71
6,1,0.5,3,10000,0,100,2,100,0,BFB,MINMAX,3,100,56,0,0.75,0.25,33
6,1,0.5,3,10000,0,100,2,5000,0,BFB,MINMAX,3,100,32,0,1,0,68
6,1,0.5,3,10000,0,100,2,500,0,BFB,MINMAX,3,100,35,0,0.969231,0.030769,63
6,1,0.5,3,10000,0,100,2,700,0,BFB,MINMAX,3,100,31,0,0.971014,0.028986,67
6,1,0.5,3,1000,0,100,2,1000,0,BFB,MINMAX,3,100,29,0,0.985915,0.014085,70
6,1,0.5,3,1000,0,100,2,100,0,BFB,MINMAX,3,100,56,0,0.772727,0.227273,34
6,1,0.5,3,1000,0,100,2,5000,0,BFB,MINMAX,3,100,36,0,0.984375,0.015625,63
6,1,0.5,3,1000,0,100,2,500,0,BFB,MINMAX,3,100,36,0,0.953125,0.046875,61
6,1,0.5,3,1000,0,100,2,700,0,BFB,MINMAX,3,100,42,0,0.982759,0.017241,57
6,1,0.5,3,15000,0,100,2,1000,0,BFB,MINMAX,3,100,23,0,0.974026,0.025974,75
6,1,0.5,3,15000,0,100,2,100,0,BFB,MINMAX,3,100,58,0,0.761905,0.238095,32
6,1,0.5,3,15000,0,100,2,5000,0,BFB,MINMAX,3,100,32,0,1,0,68
6,1,0.5,3,15000,0,100,2,500,0,BFB,MINMAX,3,100,39,0,0.967213,0.032787,59
6,1,0.5,3,15000,0,100,2,700,0,BFB,MINMAX,3,100,40,0,0.966667,0.033333,58
6,1,0.5,3,5000,0,100,2,1000,0,BFB,MINMAX,3,100,23,0,1,0,77
6,1,0.5,3,5000,0,100,2,100,0,BFB,MINMAX,3,100,52,0,0.854167,0.145833,41
6,1,0.5,3,5000,0,100,2,5000,0,BFB,MINMAX,3,100,21,0,1,0,79
6,1,0.5,3,5000,0,100,2,500,0,BFB,MINMAX,3,100,41,0,0.983051,0.016949,58
6,1,0.5,3,5000,0,100,2,700,0,BFB,MINMAX,3,100,34,0,0.969697,0.030303,64
6,1,2.5,1,100000,0,100,2,1000,0,BFB,MINMAX,3,100,28,0,1,0,72
6,1,2.5,1,100000,0,100,2,100,0,BFB,MINMAX,3,100,47,0,0.716981,0.283019,38
6,1,2.5,1,100000,0,100,2,5000,0,BFB,MINMAX,3,100,25,0,1,0,75
6,1,2.5,1,100000,0,100,2,500,0,BFB,MINMAX,3,100,35,0,1,0,65
6,1,2.5,1,100000,0,100,2,700,0,BFB,MINMAX,3,100,47,0,0.962264,0.037736,51
6,1,2.5,1,10000,0,100,2,1000,0,BFB,MINMAX,3,100,35,0,0.969231,0.030769,63
6,1,2.5,1,10000,0,100,2,100,0,BFB,MINMAX,3,100,46,0,0.740741,0.259259,40
6,1,2.5,1,10000,0,100,2,5000,0,BFB,MINMAX,3,100,26,0,1,0,74
6,1,2.5,1,10000,0,100,2,500,0,BFB,MINMAX,3,100,33,0,0.985075,0.014925,66
6,1,2.5,1,10000,0,100,2,700,0,BFB,MINMAX,3,100,39,0,1,0,61
6,1,2.5,1,1000,0,100,2,1000,0,BFB,MINMAX,3,100,34,0,0.984848,0.015152,65
6,1,2.5,1,1000,0,100,2,100,0,BFB,MINMAX,3,100,56,0,0.772727,0.227273,34
6,1,2.5,1,1000,0,100,2,5000,0,BFB,MINMAX,3,100,26,0,0.986486,0.013514,73
6,1,2.5,1,1000,0,100,2,500,0,BFB,MINMAX,3,100,33,0,0.940298,0.059701,63
6,1,2.5,1,1000,0,100,2,700,0,BFB,MINMAX,3,100,31,0,0.985507,0.014493,68
6,1,2.5,1,15000,0,100,2,1000,0,BFB,MINMAX,3,100,38,0,0.967742,0.032258,60
6,1,2.5,1,15000,0,100,2,100,0,BFB,MINMAX,3,100,48,0,0.730769,0.269231,38
6,1,2.5,1,15000,0,100,2,5000,0,BFB,MINMAX,3,100,25,0,1,0,75
6,1,2.5,1,15000,0,100,2,500,0,BFB,MINMAX,3,100,36,0,0.953125,0.046875,61
6,1,2.5,1,15000,0,100,2,700,0,BFB,MINMAX,3,100,42,0,0.965517,0.034483,56
6,1,2.5,1,5000,0,100,2,1000,0,BFB,MINMAX,3,100,35,0,0.953846,0.046154,62
6,1,2.5,1,5000,0,100,2,100,0,BFB,MINMAX,3,100,50,0,0.72,0.28,36
6,1,2.5,1,5000,0,100,2,5000,0,BFB,MINMAX,3,100,24,0,0.973684,0.026316,74
6,1,2.5,1,5000,0,100,2,500,0,BFB,MINMAX,3,100,45,0,0.963636,0.036364,53
6,1,2.5,1,5000,0,100,2,700,0,BFB,MINMAX,3,100,32,0,0.941176,0.058824,64
6,1,2.5,2,100000,0,100,2,1000,0,BFB,MINMAX,3,100,30,0,0.957143,0.042857,67
6,1,2.5,2,100000,0,100,2,100,0,BFB,MINMAX,3,100,53,0,0.765957,0.234043,36
6,1,2.5,2,100000,0,100,2,5000,0,BFB,MINMAX,3,100,23,0,1,0,77
6,1,2.5,2,100000,0,100,2,500,0,BFB,MINMAX,3,100,41,0,0.966102,0.033898,57
