pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size, mm_level ,domain, max_alg, min_alg,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,2,2.5,NA,100000,0,100,NA,NA,3,0,UCT,MINMAX,100,16,0,1,0,84
6,2,2.5,NA,100000,0,100,NA,NA,4,0,UCT,MINMAX,100,17,0,1,0,83
6,2,2.5,NA,100000,0,100,NA,NA,5,0,UCT,MINMAX,100,40,0,0.966667,0.033333,58
6,2,2.5,NA,10000,0,100,NA,NA,3,0,UCT,MINMAX,100,18,0,1,0,82
6,2,2.5,NA,10000,0,100,NA,NA,4,0,UCT,MINMAX,100,28,0,0.930556,0.069444,67
6,2,2.5,NA,10000,0,100,NA,NA,5,0,UCT,MINMAX,100,26,0,0.932432,0.067568,69
6,2,2.5,NA,1000,0,100,NA,NA,3,0,UCT,MINMAX,100,28,0,0.958333,0.041667,69
6,2,2.5,NA,1000,0,100,NA,NA,4,0,UCT,MINMAX,100,34,0,0.878788,0.121212,58
6,2,2.5,NA,1000,0,100,NA,NA,5,0,UCT,MINMAX,100,45,0,0.836364,0.163636,46
6,2,2.5,NA,1000,0,100,NA,NA,6,0,UCT,MINMAX,100,62,0,0.526316,0.473684,20
6,2,2.5,NA,15000,0,100,NA,NA,3,0,UCT,MINMAX,100,16,0,1,0,84
6,2,2.5,NA,15000,0,100,NA,NA,4,0,UCT,MINMAX,100,22,0,0.974359,0.025641,76
6,2,2.5,NA,15000,0,100,NA,NA,5,0,UCT,MINMAX,100,38,0,0.983871,0.016129,61
6,2,2.5,NA,5000,0,100,NA,NA,3,0,UCT,MINMAX,100,14,0,1,0,86
6,2,2.5,NA,5000,0,100,NA,NA,4,0,UCT,MINMAX,100,18,0,0.963415,0.036585,79
6,2,2.5,NA,5000,0,100,NA,NA,5,0,UCT,MINMAX,100,42,0,0.965517,0.034483,56
6,2,2.5,NA,5000,0,100,NA,NA,6,0,UCT,MINMAX,100,46,0,0.833333,0.166667,45
6,3,0.5,NA,100000,0,100,NA,NA,3,0,UCT,MINMAX,100,40,0,0.316667,0.683333,19
6,3,0.5,NA,100000,0,100,NA,NA,4,0,UCT,MINMAX,100,24,0,0.144737,0.855263,11
6,3,0.5,NA,100000,0,100,NA,NA,5,0,UCT,MINMAX,100,25,0,0.053333,0.946667,4
6,3,0.5,NA,10000,0,100,NA,NA,3,0,UCT,MINMAX,100,41,0,0.288136,0.711864,17
6,3,0.5,NA,10000,0,100,NA,NA,4,0,UCT,MINMAX,100,20,0,0.0125,0.9875,1
6,3,0.5,NA,10000,0,100,NA,NA,5,0,UCT,MINMAX,100,18,0,0.04878,0.951219,4
6,3,0.5,NA,1000,0,100,NA,NA,3,0,UCT,MINMAX,100,38,0,0.306452,0.693548,19
6,3,0.5,NA,1000,0,100,NA,NA,4,0,UCT,MINMAX,100,19,0,0.024691,0.975309,2
6,3,0.5,NA,1000,0,100,NA,NA,5,0,UCT,MINMAX,100,18,0,0.02439,0.97561,2
6,3,0.5,NA,1000,0,100,NA,NA,6,0,UCT,MINMAX,100,17,0,0.024096,0.975904,2
6,3,0.5,NA,15000,0,100,NA,NA,3,0,UCT,MINMAX,100,44,0,0.232143,0.767857,13
6,3,0.5,NA,15000,0,100,NA,NA,4,0,UCT,MINMAX,100,21,0,0.025316,0.974684,2
6,3,0.5,NA,15000,0,100,NA,NA,5,0,UCT,MINMAX,100,19,0,0.061728,0.938272,5
6,3,0.5,NA,5000,0,100,NA,NA,3,0,UCT,MINMAX,100,39,0,0.114754,0.885246,7
6,3,0.5,NA,5000,0,100,NA,NA,4,0,UCT,MINMAX,100,21,0,0.037975,0.962025,3
6,3,0.5,NA,5000,0,100,NA,NA,5,0,UCT,MINMAX,100,27,0,0.013699,0.986301,1
6,3,0.5,NA,5000,0,100,NA,NA,6,0,UCT,MINMAX,100,14,0,0,1,0
6,3,2.5,NA,100000,0,100,NA,NA,3,0,UCT,MINMAX,100,44,0,0.285714,0.714286,16
6,3,2.5,NA,100000,0,100,NA,NA,4,0,UCT,MINMAX,100,32,0,0.102941,0.897059,7
6,3,2.5,NA,100000,0,100,NA,NA,5,0,UCT,MINMAX,100,30,0,0.057143,0.942857,4
6,3,2.5,NA,10000,0,100,NA,NA,3,0,UCT,MINMAX,100,47,0,0.245283,0.754717,13
6,3,2.5,NA,10000,0,100,NA,NA,4,0,UCT,MINMAX,100,29,0,0.056338,0.943662,4
6,3,2.5,NA,10000,0,100,NA,NA,5,0,UCT,MINMAX,100,28,0,0.041667,0.958333,3
6,3,2.5,NA,1000,0,100,NA,NA,3,0,UCT,MINMAX,100,34,0,0.181818,0.818182,12
6,3,2.5,NA,1000,0,100,NA,NA,4,0,UCT,MINMAX,100,27,0,0.054795,0.945205,4
6,3,2.5,NA,1000,0,100,NA,NA,5,0,UCT,MINMAX,100,26,0,0.013514,0.986486,1
6,3,2.5,NA,1000,0,100,NA,NA,6,0,UCT,MINMAX,100,19,0,0,1,0
6,3,2.5,NA,15000,0,100,NA,NA,3,0,UCT,MINMAX,100,48,0,0.211538,0.788462,11
6,3,2.5,NA,15000,0,100,NA,NA,4,0,UCT,MINMAX,100,28,0,0.069444,0.930556,5
6,3,2.5,NA,15000,0,100,NA,NA,5,0,UCT,MINMAX,100,24,0,0.065789,0.934211,5
6,3,2.5,NA,5000,0,100,NA,NA,3,0,UCT,MINMAX,100,51,0,0.265306,0.734694,13
6,3,2.5,NA,5000,0,100,NA,NA,4,0,UCT,MINMAX,100,27,0,0.054795,0.945205,4
6,3,2.5,NA,5000,0,100,NA,NA,5,0,UCT,MINMAX,100,28,0,0.041667,0.958333,3
6,3,2.5,NA,5000,0,100,NA,NA,6,0,UCT,MINMAX,100,19,0,0.049383,0.950617,4
6,5,0.5,NA,100000,0,100,NA,NA,3,0,UCT,MINMAX,100,59,0,0.853659,0.146341,35
6,5,0.5,NA,100000,0,100,NA,NA,4,0,UCT,MINMAX,100,61,0,0.717949,0.282051,28
6,5,0.5,NA,100000,0,100,NA,NA,5,0,UCT,MINMAX,100,71,0,0.689655,0.310345,20
6,5,0.5,NA,10000,0,100,NA,NA,3,0,UCT,MINMAX,100,51,0,0.755102,0.244898,37
6,5,0.5,NA,10000,0,100,NA,NA,4,0,UCT,MINMAX,100,56,0,0.590909,0.409091,26
6,5,0.5,NA,10000,0,100,NA,NA,5,0,UCT,MINMAX,100,63,0,0.567568,0.432432,21
6,5,0.5,NA,1000,0,100,NA,NA,3,0,UCT,MINMAX,100,61,0,0.692308,0.307692,27
6,5,0.5,NA,1000,0,100,NA,NA,4,0,UCT,MINMAX,100,57,0,0.534884,0.465116,23
6,5,0.5,NA,1000,0,100,NA,NA,5,0,UCT,MINMAX,100,62,0,0.394737,0.605263,15
6,5,0.5,NA,1000,0,100,NA,NA,6,0,UCT,MINMAX,100,53,0,0.170213,0.829787,8
6,5,0.5,NA,15000,0,100,NA,NA,3,0,UCT,MINMAX,100,65,0,0.8,0.2,28
6,5,0.5,NA,15000,0,100,NA,NA,4,0,UCT,MINMAX,100,58,0,0.642857,0.357143,27
6,5,0.5,NA,15000,0,100,NA,NA,5,0,UCT,MINMAX,100,54,0,0.456522,0.543478,21
6,5,0.5,NA,5000,0,100,NA,NA,3,0,UCT,MINMAX,100,63,0,0.72973,0.27027,27
6,5,0.5,NA,5000,0,100,NA,NA,4,0,UCT,MINMAX,100,56,0,0.681818,0.318182,30
6,5,0.5,NA,5000,0,100,NA,NA,5,0,UCT,MINMAX,100,63,0,0.567568,0.432432,21
6,5,0.5,NA,5000,0,100,NA,NA,6,0,UCT,MINMAX,100,62,0,0.421053,0.578947,16
6,5,2.5,NA,100000,0,100,NA,NA,3,0,UCT,MINMAX,100,55,0,0.844444,0.155556,38
6,5,2.5,NA,100000,0,100,NA,NA,4,0,UCT,MINMAX,100,69,0,0.806452,0.193548,25
6,5,2.5,NA,100000,0,100,NA,NA,5,0,UCT,MINMAX,100,60,0,0.7,0.3,28
6,5,2.5,NA,10000,0,100,NA,NA,3,0,UCT,MINMAX,100,55,0,0.622222,0.377778,28
6,5,2.5,NA,10000,0,100,NA,NA,4,0,UCT,MINMAX,100,55,0,0.822222,0.177778,37
6,5,2.5,NA,10000,0,100,NA,NA,5,0,UCT,MINMAX,100,58,0,0.666667,0.333333,28
6,5,2.5,NA,1000,0,100,NA,NA,3,0,UCT,MINMAX,100,55,0,0.511111,0.488889,23
6,5,2.5,NA,1000,0,100,NA,NA,4,0,UCT,MINMAX,100,53,0,0.553191,0.446809,26
6,5,2.5,NA,1000,0,100,NA,NA,5,0,UCT,MINMAX,100,62,0,0.236842,0.763158,9
6,5,2.5,NA,1000,0,100,NA,NA,6,0,UCT,MINMAX,100,34,0,0.181818,0.818182,12
6,5,2.5,NA,15000,0,100,NA,NA,3,0,UCT,MINMAX,100,59,0,0.804878,0.195122,33
6,5,2.5,NA,15000,0,100,NA,NA,4,0,UCT,MINMAX,100,59,0,0.829268,0.170732,34
6,5,2.5,NA,15000,0,100,NA,NA,5,0,UCT,MINMAX,100,58,0,0.690476,0.309524,29
6,5,2.5,NA,5000,0,100,NA,NA,3,0,UCT,MINMAX,100,60,0,0.775,0.225,31
6,5,2.5,NA,5000,0,100,NA,NA,4,0,UCT,MINMAX,100,48,0,0.596154,0.403846,31
6,5,2.5,NA,5000,0,100,NA,NA,5,0,UCT,MINMAX,100,60,0,0.65,0.35,26
6,5,2.5,NA,5000,0,100,NA,NA,6,0,UCT,MINMAX,100,59,0,0.487805,0.512195,20
6,6,0.5,NA,100000,0,100,NA,NA,3,0,UCT,MINMAX,100,23,0,0.974026,0.025974,75
6,6,0.5,NA,100000,0,100,NA,NA,4,0,UCT,MINMAX,100,40,0,0.833333,0.166667,50
6,6,0.5,NA,100000,0,100,NA,NA,5,0,UCT,MINMAX,100,43,0,0.77193,0.22807,44
6,6,0.5,NA,10000,0,100,NA,NA,3,0,UCT,MINMAX,100,28,0,0.986111,0.013889,71
6,6,0.5,NA,10000,0,100,NA,NA,4,0,UCT,MINMAX,100,50,0,0.76,0.24,38
6,6,0.5,NA,10000,0,100,NA,NA,5,0,UCT,MINMAX,100,48,0,0.788462,0.211538,41
6,6,0.5,NA,1000,0,100,NA,NA,3,0,UCT,MINMAX,100,34,0,0.939394,0.060606,62
6,6,0.5,NA,1000,0,100,NA,NA,4,0,UCT,MINMAX,100,49,0,0.745098,0.254902,38
6,6,0.5,NA,1000,0,100,NA,NA,5,0,UCT,MINMAX,100,45,0,0.472727,0.527273,26
6,6,0.5,NA,1000,0,100,NA,NA,6,0,UCT,MINMAX,100,51,0,0.22449,0.77551,11
6,6,0.5,NA,15000,0,100,NA,NA,3,0,UCT,MINMAX,100,27,0,1,0,73
6,6,0.5,NA,15000,0,100,NA,NA,4,0,UCT,MINMAX,100,41,0,0.830508,0.169492,49
6,6,0.5,NA,15000,0,100,NA,NA,5,0,UCT,MINMAX,100,45,0,0.690909,0.309091,38
6,6,0.5,NA,5000,0,100,NA,NA,3,0,UCT,MINMAX,100,19,0,0.975309,0.024691,79
6,6,0.5,NA,5000,0,100,NA,NA,4,0,UCT,MINMAX,100,42,0,0.87931,0.12069,51
6,6,0.5,NA,5000,0,100,NA,NA,5,0,UCT,MINMAX,100,52,0,0.770833,0.229167,37
6,6,0.5,NA,5000,0,100,NA,NA,6,0,UCT,MINMAX,100,49,0,0.392157,0.607843,20
6,6,2.5,NA,100000,0,100,NA,NA,3,0,UCT,MINMAX,100,24,0,1,0,76
6,6,2.5,NA,100000,0,100,NA,NA,4,0,UCT,MINMAX,100,28,0,0.944444,0.055556,68
6,6,2.5,NA,10000,0,100,NA,NA,3,0,UCT,MINMAX,100,21,0,0.962025,0.037975,76
